published_date,article_urls,article_summary,article_headline,title,date
2018-06-09T17:31:27+0000,https://www.nytimes.com/2018/06/09/sports/nba-finals-sweep.html,"Accused of making the sport uncompetitive, the Warriors won the N.B.A. title by the largest combined point margin of any champion that has swept the finals. But other sweepers have been close.",The Warriors Were Dominant. But How Dominant?,nba-finals-sweep,2018-06-09
2018-06-09T01:26:37+0000,https://www.nytimes.com/2018/06/08/movies/kyrie-irving-nba-celtics-earth.html,"In his most extensive comments to date, the Boston Celtics star Kyrie Irving questioned again whether the Earth is round: “You know that for sure? Like, I don’t know.”",Kyrie Irving Doesn’t Know if the Earth Is Round or Flat. He Does Want to Discuss It.,kyrie-irving-nba-celtics-earth,2018-06-09
2018-06-08T22:00:03+0000,https://www.nytimes.com/2018/06/08/sports/nba-finals-warriors-cavs.html,"Kevin Durant was named the finals’ M.V.P. again, after the Warriors won their second straight championship over LeBron James and the Cavaliers.","Warriors, in Full Dynasty Mode, Sweep Cavaliers in N.B.A. Finals",nba-finals-warriors-cavs,2018-06-08
2018-06-08T17:33:17+0000,https://www.nytimes.com/2018/06/08/sports/lebron-james-free-agency.html,"If James wants to beat the Warriors, he may need to take a page out of Kevin Durant’s playbook and find a team that makes the game seem unfair.","LeBron James Reveals an Injury, but His Destination Is Far From Clear",lebron-james-free-agency,2018-06-08
2018-06-08T13:16:38+0000,https://www.nytimes.com/2018/06/08/sports/game-of-zones.html,"The animated show combining elements of “Game of Thrones” with story lines borrowed from N.B.A. Twitter is very funny, even if its creators can’t tell you why.",The ‘Game of Zones’ Guys Knew You Wanted a Bryan Colangelo Episode,game-of-zones,2018-06-08
2018-06-08T09:30:01+0000,https://www.nytimes.com/interactive/2018/06/08/sports/basketball/lebron-nba-finals.html,"During this season’s playoffs, James has accounted for nearly a third of his team’s box-score statistics.",LeBron James Carried the Cavaliers in a Historic Way,lebron-nba-finals,2018-06-08
2018-06-08T00:37:33+0000,https://www.nytimes.com/2018/06/07/sports/sterling-brown-lawsuit.html,"As expected, the Milwaukee Bucks forward, who was subdued with a stun gun over a parking violation in January, will file a lawsuit on Friday.",Sterling Brown to File Civil Rights Lawsuit After More Videos of Arrest,sterling-brown-lawsuit,2018-06-08
2018-06-07T19:55:25+0000,https://www.nytimes.com/2018/06/07/sports/the-left-side-of-steve-kerrs-brain.html,"Sammy Gelfand is the numbers guy behind the Golden State Warriors’ success. Some pretty good players help, too.",The Left Side of Steve Kerr’s Brain,the-left-side-of-steve-kerrs-brain,2018-06-07
2018-06-07T16:32:35+0000,https://www.nytimes.com/2018/06/07/sports/bryan-colangelo-sixers-wife.html,"A celebrated N.B.A. executive, Bryan Colangelo, is out of a job after his wife went on social media to defend him.",The Story of the Wife Who Defended Her Husband in a Way That Left Him Unemployed,bryan-colangelo-sixers-wife,2018-06-07
2018-06-07T12:49:45+0000,https://www.nytimes.com/2018/06/07/sports/lebron-james-cleveland.html,"Down in the N.B.A. finals, three games to none, LeBron James appears set to leave Cleveland — again. And Northeast Ohio is O.K. with that.",LeBron James Delivered. Now Does He Exit?,lebron-james-cleveland,2018-06-07
