Date,Opponent,Tm,Opp,W,L,net_wins,win_flag,text
2017-10-17,Houston Rockets,121,122,0,1,-1,L,L vs Houston Rockets (121-122)
2017-10-20,New Orleans Pelicans,128,120,1,1,0,W,W vs New Orleans Pelicans (128-120)
2017-10-21,Memphis Grizzlies,101,111,1,2,-1,L,L vs Memphis Grizzlies (101-111)
2017-10-23,Dallas Mavericks,133,103,2,2,0,W,W vs Dallas Mavericks (133-103)
2017-10-25,Toronto Raptors,117,112,3,2,1,W,W vs Toronto Raptors (117-112)
2017-10-27,Washington Wizards,120,117,4,2,2,W,W vs Washington Wizards (120-117)
2017-10-29,Detroit Pistons,107,115,4,3,1,L,L vs Detroit Pistons (107-115)
2017-10-30,Los Angeles Clippers,141,113,5,3,2,W,W vs Los Angeles Clippers (141-113)
2017-11-02,San Antonio Spurs,112,92,6,3,3,W,W vs San Antonio Spurs (112-92)
2017-11-04,Denver Nuggets,127,108,7,3,4,W,W vs Denver Nuggets (127-108)
2017-11-06,Miami Heat,97,80,8,3,5,W,W vs Miami Heat (97-80)
2017-11-08,Minnesota Timberwolves,125,101,9,3,6,W,W vs Minnesota Timberwolves (125-101)
2017-11-11,Philadelphia 76ers,135,114,10,3,7,W,W vs Philadelphia 76ers (135-114)
2017-11-13,Orlando Magic,110,100,11,3,8,W,W vs Orlando Magic (110-100)
2017-11-16,Boston Celtics,88,92,11,4,7,L,L vs Boston Celtics (88-92)
2017-11-18,Philadelphia 76ers,124,116,12,4,8,W,W vs Philadelphia 76ers (124-116)
2017-11-19,Brooklyn Nets,118,111,13,4,9,W,W vs Brooklyn Nets (118-111)
2017-11-22,Oklahoma City Thunder,91,108,13,5,8,L,L vs Oklahoma City Thunder (91-108)
2017-11-24,Chicago Bulls,143,94,14,5,9,W,W vs Chicago Bulls (143-94)
2017-11-25,New Orleans Pelicans,110,95,15,5,10,W,W vs New Orleans Pelicans (110-95)
2017-11-27,Sacramento Kings,106,110,15,6,9,L,L vs Sacramento Kings (106-110)
2017-11-29,Los Angeles Lakers,127,123,16,6,10,W,W vs Los Angeles Lakers (127-123)
2017-12-01,Orlando Magic,133,112,17,6,11,W,W vs Orlando Magic (133-112)
2017-12-03,Miami Heat,123,95,18,6,12,W,W vs Miami Heat (123-95)
2017-12-04,New Orleans Pelicans,125,115,19,6,13,W,W vs New Orleans Pelicans (125-115)
2017-12-06,Charlotte Hornets,101,87,20,6,14,W,W vs Charlotte Hornets (101-87)
2017-12-08,Detroit Pistons,102,98,21,6,15,W,W vs Detroit Pistons (102-98)
2017-12-11,Portland Trail Blazers,111,104,22,6,16,W,W vs Portland Trail Blazers (111-104)
2017-12-14,Dallas Mavericks,112,97,23,6,17,W,W vs Dallas Mavericks (112-97)
2017-12-18,Los Angeles Lakers,116,114,24,6,18,W,W vs Los Angeles Lakers (116-114)
2017-12-20,Memphis Grizzlies,97,84,25,6,19,W,W vs Memphis Grizzlies (97-84)
2017-12-22,Los Angeles Lakers,113,106,26,6,20,W,W vs Los Angeles Lakers (113-106)
2017-12-23,Denver Nuggets,81,96,26,7,19,L,L vs Denver Nuggets (81-96)
2017-12-25,Cleveland Cavaliers,99,92,27,7,20,W,W vs Cleveland Cavaliers (99-92)
2017-12-27,Utah Jazz,126,101,28,7,21,W,W vs Utah Jazz (126-101)
2017-12-29,Charlotte Hornets,100,111,28,8,20,L,L vs Charlotte Hornets (100-111)
2017-12-30,Memphis Grizzlies,141,128,29,8,21,W,W vs Memphis Grizzlies (141-128)
2018-01-03,Dallas Mavericks,125,122,30,8,22,W,W vs Dallas Mavericks (125-122)
2018-01-04,Houston Rockets,124,114,31,8,23,W,W vs Houston Rockets (124-114)
2018-01-06,Los Angeles Clippers,121,105,32,8,24,W,W vs Los Angeles Clippers (121-105)
2018-01-08,Denver Nuggets,124,114,33,8,25,W,W vs Denver Nuggets (124-114)
2018-01-10,Los Angeles Clippers,106,125,33,9,24,L,L vs Los Angeles Clippers (106-125)
2018-01-12,Milwaukee Bucks,108,94,34,9,25,W,W vs Milwaukee Bucks (108-94)
2018-01-13,Toronto Raptors,127,125,35,9,26,W,W vs Toronto Raptors (127-125)
2018-01-15,Cleveland Cavaliers,118,108,36,9,27,W,W vs Cleveland Cavaliers (118-108)
2018-01-17,Chicago Bulls,119,112,37,9,28,W,W vs Chicago Bulls (119-112)
2018-01-20,Houston Rockets,108,116,37,10,27,L,L vs Houston Rockets (108-116)
2018-01-23,New York Knicks,123,112,38,10,28,W,W vs New York Knicks (123-112)
2018-01-25,Minnesota Timberwolves,126,113,39,10,29,W,W vs Minnesota Timberwolves (126-113)
2018-01-27,Boston Celtics,109,105,40,10,30,W,W vs Boston Celtics (109-105)
2018-01-30,Utah Jazz,99,129,40,11,29,L,L vs Utah Jazz (99-129)
2018-02-02,Sacramento Kings,119,104,41,11,30,W,W vs Sacramento Kings (119-104)
2018-02-03,Denver Nuggets,108,115,41,12,29,L,L vs Denver Nuggets (108-115)
2018-02-06,Oklahoma City Thunder,105,125,41,13,28,L,L vs Oklahoma City Thunder (105-125)
2018-02-08,Dallas Mavericks,121,103,42,13,29,W,W vs Dallas Mavericks (121-103)
2018-02-10,San Antonio Spurs,122,105,43,13,30,W,W vs San Antonio Spurs (122-105)
2018-02-12,Phoenix Suns,129,83,44,13,31,W,W vs Phoenix Suns (129-83)
2018-02-14,Portland Trail Blazers,117,123,44,14,30,L,L vs Portland Trail Blazers (117-123)
2018-02-22,Los Angeles Clippers,134,127,45,14,31,W,W vs Los Angeles Clippers (134-127)
2018-02-24,Oklahoma City Thunder,112,80,46,14,32,W,W vs Oklahoma City Thunder (112-80)
2018-02-26,New York Knicks,125,111,47,14,33,W,W vs New York Knicks (125-111)
2018-02-28,Washington Wizards,109,101,48,14,34,W,W vs Washington Wizards (109-101)
2018-03-02,Atlanta Hawks,114,109,49,14,35,W,W vs Atlanta Hawks (114-109)
2018-03-06,Brooklyn Nets,114,101,50,14,36,W,W vs Brooklyn Nets (114-101)
2018-03-08,San Antonio Spurs,110,107,51,14,37,W,W vs San Antonio Spurs (110-107)
2018-03-09,Portland Trail Blazers,108,125,51,15,36,L,L vs Portland Trail Blazers (108-125)
2018-03-11,Minnesota Timberwolves,103,109,51,16,35,L,L vs Minnesota Timberwolves (103-109)
2018-03-14,Los Angeles Lakers,117,106,52,16,36,W,W vs Los Angeles Lakers (117-106)
2018-03-16,Sacramento Kings,93,98,52,17,35,L,L vs Sacramento Kings (93-98)
2018-03-17,Phoenix Suns,124,109,53,17,36,W,W vs Phoenix Suns (124-109)
2018-03-19,San Antonio Spurs,75,89,53,18,35,L,L vs San Antonio Spurs (75-89)
2018-03-23,Atlanta Hawks,106,94,54,18,36,W,W vs Atlanta Hawks (106-94)
2018-03-25,Utah Jazz,91,110,54,19,35,L,L vs Utah Jazz (91-110)
2018-03-27,Indiana Pacers,81,92,54,20,34,L,L vs Indiana Pacers (81-92)
2018-03-29,Milwaukee Bucks,107,116,54,21,33,L,L vs Milwaukee Bucks (107-116)
2018-03-31,Sacramento Kings,112,96,55,21,34,W,W vs Sacramento Kings (112-96)
2018-04-01,Phoenix Suns,117,107,56,21,35,W,W vs Phoenix Suns (117-107)
2018-04-03,Oklahoma City Thunder,111,107,57,21,36,W,W vs Oklahoma City Thunder (111-107)
2018-04-05,Indiana Pacers,106,126,57,22,35,L,L vs Indiana Pacers (106-126)
2018-04-07,New Orleans Pelicans,120,126,57,23,34,L,L vs New Orleans Pelicans (120-126)
2018-04-08,Phoenix Suns,117,100,58,23,35,W,W vs Phoenix Suns (117-100)
2018-04-10,Utah Jazz,79,119,58,24,34,L,L vs Utah Jazz (79-119)
