Date,Opponent,Tm,Opp,W,L,net_wins,win_flag,text
2018-04-14,San Antonio Spurs,113,92,1,0,35,W,W vs San Antonio Spurs (113-92)
2018-04-16,San Antonio Spurs,116,101,2,0,36,W,W vs San Antonio Spurs (116-101)
2018-04-19,San Antonio Spurs,110,97,3,0,37,W,W vs San Antonio Spurs (110-97)
2018-04-22,San Antonio Spurs,90,103,3,1,36,L,L vs San Antonio Spurs (90-103)
2018-04-24,San Antonio Spurs,99,91,4,1,37,W,W vs San Antonio Spurs (99-91)
2018-04-28,New Orleans Pelicans,123,101,5,1,38,W,W vs New Orleans Pelicans (123-101)
2018-05-01,New Orleans Pelicans,121,116,6,1,39,W,W vs New Orleans Pelicans (121-116)
2018-05-04,New Orleans Pelicans,100,119,6,2,38,L,L vs New Orleans Pelicans (100-119)
2018-05-06,New Orleans Pelicans,118,92,7,2,39,W,W vs New Orleans Pelicans (118-92)
2018-05-08,New Orleans Pelicans,113,104,8,2,40,W,W vs New Orleans Pelicans (113-104)
2018-05-14,Houston Rockets,119,106,9,2,41,W,W vs Houston Rockets (119-106)
2018-05-16,Houston Rockets,105,127,9,3,40,L,L vs Houston Rockets (105-127)
2018-05-20,Houston Rockets,126,85,10,3,41,W,W vs Houston Rockets (126-85)
2018-05-22,Houston Rockets,92,95,10,4,40,L,L vs Houston Rockets (92-95)
2018-05-24,Houston Rockets,94,98,10,5,39,L,L vs Houston Rockets (94-98)
2018-05-26,Houston Rockets,115,86,11,5,40,W,W vs Houston Rockets (115-86)
2018-05-28,Houston Rockets,101,92,12,5,41,W,W vs Houston Rockets (101-92)
2018-05-31,Cleveland Cavaliers,124,114,13,5,42,W,W vs Cleveland Cavaliers (124-114)
2018-06-03,Cleveland Cavaliers,122,103,14,5,43,W,W vs Cleveland Cavaliers (122-103)
2018-06-06,Cleveland Cavaliers,110,102,15,5,44,W,W vs Cleveland Cavaliers (110-102)
2018-06-08,Cleveland Cavaliers,108,85,16,5,45,W,W vs Cleveland Cavaliers (108-85)
