GP,MPG,PTS,FG%,3P%,FT%,team,position,fname,lname,FGM,3PM,FTM
72,35.4,30.4,.449,.367,.858,Rockets,PG,James,Harden,9.0,3.7,8.7
75,36.4,28.1,.534,.340,.828,Pelicans,PF,Anthony,Davis,10.4,0.7,6.6
82,36.9,27.5,.542,.367,.731,Cavaliers,SF,LeBron,James,10.5,1.8,4.7
73,36.6,26.9,.439,.361,.916,Blazers,PG,Damian,Lillard,8.5,3.1,6.8
75,36.7,26.9,.529,.307,.760,Bucks,PF,Giannis,Antetokounmpo,9.9,0.6,6.5
51,32.0,26.4,.495,.423,.921,Warriors,PG,Stephen,Curry,8.4,4.2,5.5
68,34.2,26.4,.516,.419,.889,Warriors,SF,Kevin,Durant,9.3,2.5,5.3
80,36.4,25.4,.449,.298,.737,Thunder,PG,Russell,Westbrook,9.5,1.2,5.2
48,36.2,25.2,.470,.354,.746,Pelicans,C,DeMarcus,Cousins,8.5,2.2,6.1
54,34.5,24.9,.432,.383,.878,Suns,SG,Devin,Booker,8.4,2.7,5.4
60,32.2,24.4,.491,.408,.889,Celtics,PG,Kyrie,Irving,8.9,2.8,3.9
75,33.5,23.1,.510,.293,.837,Spurs,PF,LaMarcus,Aldridge,9.2,0.4,4.5
75,34.0,23.1,.477,.371,.799,Pacers,SG,Victor,Oladipo,8.5,2.1,3.9
80,33.9,23.0,.456,.310,.825,Raptors,SG,DeMar,DeRozan,8.1,1.1,5.8
63,30.3,22.9,.483,.308,.769,76ers,C,Joel,Embiid,8.1,1.0,5.7
48,32.4,22.7,.439,.395,.793,Knicks,PF,Kristaps,Porzingis,8.1,1.9,4.5
82,36.3,22.6,.460,.375,.791,Wizards,SG,Bradley,Beal,8.3,2.4,3.6
79,32.8,22.6,.435,.359,.880,Clippers,SG,Lou,Williams,7.4,2.4,5.5
59,36.7,22.2,.474,.350,.854,Timberwolves,SG,Jimmy,Butler,7.4,1.2,6.2
80,34.2,22.1,.431,.384,.864,Hornets,PG,Kemba,Walker,7.4,2.9,4.5
79,36.6,21.9,.430,.401,.822,Thunder,SF,Paul,George,7.3,3.1,4.3
58,34.0,21.4,.438,.345,.785,Clippers,PF,Blake,Griffin,7.5,1.9,4.5
81,36.1,21.4,.443,.397,.836,Blazers,SG,CJ,McCollum,8.2,2.3,2.6
82,35.6,21.3,.545,.421,.858,Timberwolves,C,Karl-Anthony,Towns,7.8,1.5,4.2
79,33.4,20.5,.437,.340,.805,Jazz,SG,Donovan,Mitchell,7.5,2.4,3.0
82,36.4,20.1,.466,.359,.884,Bucks,SF,Khris,Middleton,7.2,1.8,3.9
7,27.6,20.1,.500,.594,.870,Grizzlies,SG,MarShon,Brooks,7.3,2.7,2.9
73,34.3,20.0,.488,.440,.837,Warriors,SG,Klay,Thompson,7.9,3.1,1.1
65,33.0,19.6,.498,.222,.757,Suns,SF,TJ,Warren,8.1,0.3,3.0
41,34.4,19.4,.420,.371,.726,Wizards,PG,John,Wall,6.8,1.5,4.3
52,30.9,19.4,.452,.399,.785,Grizzlies,SG,Tyreke,Evans,7.0,2.2,3.2
67,31.0,19.4,.436,.290,.849,Hawks,PG,Dennis,Schroder,7.5,1.1,3.4
81,36.1,19.0,.494,.337,.786,Pelicans,PG,Jrue,Holiday,7.6,1.5,2.3
