Name,Wins,Playoffs,Conference,New York Team,City
Lakers,35,0,W,0,Los Angeles
Cavaliers,50,4,E,0,Cleveland
Warriors,58,5,W,0,Golden State
Celtics,55,3,E,0,Boston
Spurs,47,1,W,0,San Antonio
76ers,52,2,E,0,Philadelphia
Knicks,29,0,E,1,New York
Bulls,27,0,E,0,Chicago
Rockets,65,3,W,0,Houston
Raptors,59,2,E,0,Toronto
Mavericks,24,0,W,0,Dallas
Thunder,48,1,W,0,Oklahoma City
Suns,21,0,W,0,Phoenix
Heat,44,1,E,0,Miami
Hawks,24,0,E,0,Atlanta
Timberwolves,47,1,W,0,Minnesota
Hornets,36,0,E,0,Charlotte
Clippers,42,0,W,0,Los Angeles
Pistons,39,0,E,0,Detroit
Pacers,48,1,E,0,Indiana
Blazers,49,1,W,0,Portland
Bucks,44,1,E,0,Milwaukee
Wizards,43,0,E,0,Washington
Magic,25,0,E,0,Orlando
Nets,28,0,E,1,Brooklyn
Grizzlies,22,0,E,0,Memphis
Kings,27,0,W,0,Sacramento
Nuggets,46,0,W,0,Denver
Jazz,48,2,W,0,Utah
Pelicans,48,2,W,0,New Orleans
